"StichtagDatJahr","HundenameText","GebDatHundJahr","SexHundCd","SexHundLang","SexHundSort","AnzHunde"
2015,"Ally",2013,"2","weiblich",2,1
2015,"Alma",2006,"2","weiblich",2,1
2015,"Alma",2008,"2","weiblich",2,1
2015,"Alma (Sanel)",2012,"2","weiblich",2,1
2015,"Alpha",2005,"1","männlich",1,1
2015,"Alpha",2011,"2","weiblich",2,1
2015,"Alusha",2014,"2","weiblich",2,1
2015,"Alvin",2005,"1","männlich",1,1
2015,"Alvin",2013,"1","männlich",1,1
2015,"Alwin Chamvik",2014,"1","männlich",1,1
2015,"Aly von den Sarazenentürmen",2012,"1","männlich",1,1
2015,"Ama",2013,"2","weiblich",2,1
2015,"Amala",2003,"2","weiblich",2,1
2015,"Amalie",2002,"2","weiblich",2,1
2015,"Amanda",1999,"2","weiblich",2,1
2015,"Amandob's Lady Arya",2015,"2","weiblich",2,1
2015,"Amar",2014,"1","männlich",1,1
2015,"Amara",2006,"2","weiblich",2,1
2015,"Amara",2007,"2","weiblich",2,1
2015,"Amara (Aline)",2014,"2","weiblich",2,1
2015,"Amazing Adel. fr.Sands.(Bonita",2007,"2","weiblich",2,1
2015,"Amazing Louis",2014,"1","männlich",1,1
2015,"Amber",2013,"2","weiblich",2,1
2015,"Amber (Peggy)",2013,"2","weiblich",2,1
2015,"Ameli",2012,"2","weiblich",2,1
2015,"Amelia",2012,"2","weiblich",2,1
2015,"Amelie (Anneli)",2006,"2","weiblich",2,1
2015,"Amia (Thaikru)",2006,"2","weiblich",2,1
2015,"Amico",2001,"1","männlich",1,1
2015,"Amie",2004,"2","weiblich",2,1
2015,"Amigo",2000,"1","männlich",1,1
2015,"Amigo",2003,"1","männlich",1,1
2015,"Amigo",2008,"1","männlich",1,1
2015,"Amigo",2011,"1","männlich",1,2
2015,"Amil",2012,"1","männlich",1,1
2015,"Amina",2005,"2","weiblich",2,1
2015,"Amira",2008,"2","weiblich",2,1
2015,"Amira",2009,"2","weiblich",2,2
2015,"Amira",2010,"2","weiblich",2,1
2015,"Amira",2013,"2","weiblich",2,1
2015,"Amira",2014,"2","weiblich",2,2
2015,"Amiro",2011,"1","männlich",1,1
2015,"Amo (Zorro)",2011,"1","männlich",1,1
2015,"Amok",2004,"1","männlich",1,1
2015,"Amon",2002,"1","männlich",1,1
2015,"Amor",2004,"1","männlich",1,1
2015,"Amor",2005,"1","männlich",1,1
2015,"Amor",2009,"1","männlich",1,1
2015,"Amor",2011,"1","männlich",1,1
2015,"Amor",2012,"1","männlich",1,1
2015,"Amore",2010,"2","weiblich",2,1
2015,"Amore mio",2010,"1","männlich",1,1
2015,"Amos",2012,"1","männlich",1,1
2015,"Amos",2015,"1","männlich",1,1
2015,"Amos (Strolchi)",2006,"1","männlich",1,1
2015,"Amour",2010,"1","männlich",1,1
2015,"Amour",2012,"1","männlich",1,1
